PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Bai, Dandan; Sun, Jin; Chen, Chuan; Jia, Yanping; Li, Yanhe; Liu, Kuisheng; Zhang, Yalin; Yin, Jiqing; Liu, Yingdong; Han, Xiaoxiao; Ruan, Jingling; Kou, Xiaochen; Zhao, Yanhong; Wang, Hong; Wang, Zheng; Chen, Miaoxin; Teng, Xiaoming; Jiang, Cizhong; Gao, Shaorong; Liu, Wenqiang; Wang, Hong; Wang, Zheng; Chen, Miaoxin				zhao, yan/GWC-9174-2022				Aberrant H3K4me3 modification of epiblast genes of extraembryonic tissue causes placental defects and implantation failure in mouse IVF embryos								CELL REPORTS				39	5					110784	10.1016/j.celrep.2022.110784				MAY 3 2022	2022	Assisted reproductive technology has been widely applied in the treatment of human infertility. However, accumulating evidence indicates that in vitro fertilization (IVF) is associated with a low pregnancy rate, placental defects, and metabolic diseases in offspring. Here, we find that IVF manipulation notably disrupts extraembryonic tissue-specific gene expression, and 334 epiblast (Epi)-specific genes and 24 Epi-specific transcription factors are abnormally expressed in extraembryonic ectoderm (ExE) of IVF embryos at embryonic day 7.5. Combined histone modification analysis reveals that aberrant H3K4me3 modification at the Epi active promoters results in increased expression of these genes in ExE. Importantly, we demonstrate that knockdown of the H3K4me3-recruited regulator Kmt2e, which is highly expressed in IVF embryos, greatly improves the development of IVF embryos and reduces abnormal gene expression in ExE. Our study therefore identifies that abnormal H3K4me3 modification in extraembryonic tissue is a major cause of implantation failure and abnormal placental development of IVF embryos.									0	0	0	0	0	0	0			2211-1247			WOS:000799098900003	35508139	
J	Liu, Meng; Guo, Gangqiang; Qian, Pengge; Mu, Jianbing; Lu, Binbin; He, Xiaoqin; Fan, Yanting; Shang, Xiaomin; Yang, Guang; Shen, Shijun; Liu, Wenju; Wang, Liping; Gu, Liang; Mu, Quankai; Yu, Xinyu; Zhao, Yuemeng; Culleton, Richard; Cao, Jun; Jiang, Lubin; Wellems, Thomas E.; Yuan, Jing; Jiang, Cizhong; Zhang, Qingfeng				Shen, Shijun/GLT-5319-2022	Dyson, Paul/0000-0003-3117-3249; liu, meng/0000-0003-3521-4116; Liu, Mingyang/0000-0002-6643-5096; Shen, Shijun/0000-0002-2641-889X			5-methylcytosine modification by Plasmodium NSUN2 stabilizes mRNA and mediates the development of gametocytes								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				119	9					e2110713119	10.1073/pnas.2110713119				MAR 1 2022	2022	5-methylcytosine (m5C) is an important epitranscriptomic modification involved in messenger RNA (mRNA) stability and translation efficiency in various biological processes. However, it remains unclear if m5C modification contributes to the dynamic regulation of the transcriptome during the developmental cycles of Plasmodium parasites. Here, we characterize the landscape of m5C mRNA modifications at single nucleotide resolution in the asexual replication stages and gametocyte sexual stages of rodent (Plasmodium yoelii) and human (Plasmodium falciparum) malaria parasites. While different representations of m5C-modified mRNAs are associated with the different stages, the abundance of the m5C marker is strikingly enhanced in the transcriptomes of gametocytes. Our results show that m5C modifications confer stability to the Plasmodium transcripts and that a Plasmodium ortholog of NSUN2 is a major mRNA m5C methyltransferase in malaria parasites. Upon knockout of P. yoelii nsun2 (pynsun2), marked reductions of m5C modification were observed in a panel of gametocytogenesisassociated transcripts. These reductions correlated with impaired gametocyte production in the knockout rodent malaria parasites. Restoration of the nsun2 gene in the knockout parasites rescued the gametocyte production phenotype as well as m5C modification of the gametocytogenesis-associated transcripts. Together with the mRNA m5C profiles for two species of Plasmodium, our findings demonstrate a major role for NSUN2-mediated m5C modifications in mRNA transcript stability and sexual differentiation in malaria parasites.									2	0	0	0	0	0	2			0027-8424	1091-6490		WOS:000766705700018	35210361	
J	Wang, Mingzhu; Zhao, Kun; Liu, Meng; Wang, Mengting; Qiao, Zhibin; Yi, Shanru; Jiang, Yonghua; Kou, Xiaochen; Zhao, Yanhong; Yin, Jiqing; Li, Tianming; Wang, Hong; Jiang, Cizhong; Gao, Shaorong; Chen, Jiayu				zhao, yan/GWC-9174-2022	liu, meng/0000-0003-3521-4116			BMP4 preserves the developmental potential of mESCs through Ube2s- and Chmp4b-mediated chromosomal stability safeguarding								PROTEIN & CELL				13	8			580	601		10.1007/s13238-021-00896-x		FEB 2022		AUG 2022	2022	Chemically defined medium is widely used for culturing mouse embryonic stem cells (mESCs), in which N2B27 works as a substitution for serum, and GSK3 beta and MEK inhibitors (2i) help to promote ground-state pluripotency. However, recent studies suggested that MEKi might cause irreversible defects that compromise the developmental potential of mESCs. Here, we demonstrated the deficient bone morphogenetic protein (BMP) signal in the chemically defined condition is one of the main causes for the impaired pluripotency. Mechanistically, activating the BMP signal pathway by BMP4 could safeguard the chromosomal integrity and proliferation capacity of mESCs through regulating downstream targets Ube2s and Chmp4b. More importantly, BMP4 promotes a distinct in vivo developmental potential and a long-term pluripotency preservation. Besides, the pluripotent improvements driven by BMP4 are superior to those by attenuating MEK suppression. Taken together, our study shows appropriate activation of BMP signal is essential for regulating functional pluripotency and reveals that BMP4 should be applied in the serum-free culture system.									0	0	0	0	0	0	0			1674-800X	1674-8018		WOS:000754137400001	35147915	
J	Chen, Wen; Liu, Nana; Shen, Shijun; Zhu, Wei; Qiao, Jing; Chang, Shujuan; Dong, Jianfeng; Bai, Mingliang; Ma, Li; Wang, Shanshan; Jia, Wenwen; Guo, Xudong; Li, Ang; Xi, Jiajie; Jiang, Cizhong; Kang, Jiuhong				Shen, Shijun/GLT-5319-2022	Shen, Shijun/0000-0002-2641-889X			Fetal growth restriction impairs hippocampal neurogenesis and cognition via Tet1 in offspring								CELL REPORTS				37	5					109912	10.1016/j.celrep.2021.109912		NOV 2021		NOV 2 2021	2021	Fetal growth restriction (FGR) increases the risk for impaired cognitive function later in life. However, the precise mechanisms remain elusive. Using dexamethasone-induced FGR and protein restriction-influenced FGR mouse models, we observe learning and memory deficits in adult FGR offspring. FGR induces decreased hippocampal neurogenesis from the early post-natal period to adulthood by reducing the proliferation of neural stem cells (NSCs). We further find a persistent decrease of Tet1 expression in hippocampal NSCs of FGR mice. Mechanistically, Tet1 downregulation results in hypermethylation of the Dll3 and Notch1 promoters and inhibition of Notch signaling, leading to reduced NSC proliferation. Overexpression of Tet1 activates Notch signaling, offsets the decline in neurogenesis, and enhances learning and memory abilities in FGR offspring. Our data indicate that a long-term decrease in Tet1/Notch signaling in hippocampal NSCs contributes to impaired neurogenesis following FGR and could serve as potential targets for the intervention of FGR-related cognitive disorders.									1	0	0	0	0	0	1			2211-1247			WOS:000715939600005	34731622	
J	Ma, Lin; Du, Yanhua; Hui, Yi; Li, Nan; Fan, Beibei; Zhang, Xiaojie; Li, Xiaocui; Hong, Wei; Wu, Zhiping; Zhang, Shuwei; Zhou, Shanshan; Xu, Xiangjie; Zhou, Zhongshu; Jiang, Cizhong; Liu, Ling; Zhang, Xiaoqing				Zhang, Xiaoqing/O-3424-2017	Zhang, Xiaoqing/0000-0002-7405-1893			Developmental programming and lineage branching of early human telencephalon								EMBO JOURNAL				40	21					e107277	10.15252/embj.2020107277		SEP 2021		NOV 2 2021	2021	The dorsal and ventral human telencephalons contain different neuronal subtypes, including glutamatergic, GABAergic, and cholinergic neurons, and how these neurons are generated during early development is not well understood. Using scRNA-seq and stringent validations, we reveal here a developmental roadmap for human telencephalic neurons. Both dorsal and ventral telencephalic radial glial cells (RGs) differentiate into neurons via dividing intermediate progenitor cells (IPCs_div) and early postmitotic neuroblasts (eNBs). The transcription factor ASCL1 plays a key role in promoting fate transition from RGs to IPCs_div in both regions. RGs from the regionalized neuroectoderm show heterogeneity, with restricted glutamatergic, GABAergic, and cholinergic differentiation potencies. During neurogenesis, IPCs_div gradually exit the cell cycle and branch into sister eNBs to generate distinct neuronal subtypes. Our findings highlight a general RGs-IPCs_div-eNBs developmental scheme for human telencephalic progenitors and support that the major neuronal fates of human telencephalon are predetermined during dorsoventral regionalization with neuronal diversity being further shaped during neurogenesis and neural circuit integration.									0	0	0	0	0	0	0			0261-4189	1460-2075		WOS:000698578700001	34558085	
J	Liu, Wenju; Shen, Junwei; Li, Yanfei; Wu, Jiawen; Luo, Xiaoli; Yu, Yuanyuan; Zhang, Yuhan; Gu, Liang; Zhang, Xiaobai; Jiang, Cizhong; Li, Jue				; Jiang, Cizhong/H-1474-2019	Shen, Junwei/0000-0003-3745-9168; Jiang, Cizhong/0000-0001-5406-2360			Pyroptosis inhibition improves the symptom of acute myocardial infarction								CELL DEATH & DISEASE				12	10					852	10.1038/s41419-021-04143-3				SEP 16 2021	2021	Acute myocardial infarction (AMI), the leading cause of mortality worldwide, is a rapidly developing and irreversible disease. Therefore, proper prompt intervention at the early stage of AMI is crucial for its treatment. However, the molecular features in the early stage have not been clarified. Here, we constructed mouse AMI model and profiled transcriptomes and proteomes at the early stages of AMI progress. Immune system was extensively activated at 6-h AMI. Then, pyroptosis was activated at 24-h AMI. VX-765 treatment, a pyroptosis inhibitor, significantly reduced the infarct size and improved the function of cardiomyocytes. Besides, we identified that WIPI1, specifically expressed in heart, was significantly upregulated at 1 h after AMI. Moreover, WIPI1 expression is significantly higher in the peripheral blood of patients with AMI than healthy control. WIPI1 can serve as a potential early diagnostic biomarker for AMI. It likely decelerates AMI progress by activating autophagy pathways. These findings shed new light on gene expression dynamics in AMI progress, and present a potential early diagnostic marker and a candidate drug for clinical pre-treatment to prolong the optimal cure time.									12	0	0	0	7	0	12			2041-4889			WOS:000696544400003	34531373	
J	Shang, Xiaomin; Shen, Shijun; Tang, Jianxia; He, Xiaoqin; Zhao, Yuemeng; Wang, Changhong; He, Xiaohui; Guo, Gangqiang; Liu, Meng; Wang, Liping; Zhu, Qianshu; Yang, Guang; Jiang, Cizhong; Zhang, Meihua; Yu, Xinyu; Han, Jiping; Culleton, Richard; Jiang, Lubin; Cao, Jun; Gu, Liang; Zhang, Qingfeng				Shen, Shijun/GLT-5319-2022; Jiang, Cizhong/H-1474-2019	Jiang, Cizhong/0000-0001-5406-2360; Guo, Gangqiang/0000-0001-8031-7937; Shen, Shijun/0000-0002-2641-889X			A cascade of transcriptional repression determines sexual commitment and development in Plasmodium falciparum								NUCLEIC ACIDS RESEARCH				49	16			9264	9279		10.1093/nar/gkab683		AUG 2021		SEP 20 2021	2021	Gametocytogenesis, the process by which malaria parasites produce sexual forms that can infect mosquitoes, is essential for the transmission of malaria. A transcriptional switch of the pfap2-g gene triggers sexual commitment, but how the complex multi-step process is precisely programed remains largely unknown. Here, by systematic functional screening of a panel of ApiAP2 transcription factors, we identify six new ApiAP2 members associated with gametocytogenesis in Plasmodium falciparum. Among these, PfAP2-G5 (PF3D7_1139300) was found to be indispensable for gametocytogenesis. This factor suppresses the transcriptional activity of the pfap2-g gene via binding to both the upstream region and exonic gene body, the latter is linked to the maintenance of local heterochromatin structure, thereby preventing initiation of sexual commitment. Removal of this repressive effect through pfap2-g5 knockout disrupts the asexual replication cycle and promotes sexual commitment accompanied by upregulation of pfap2-g expression. However, the gametocytes produced fail to mature fully. Further analyses show that PfAP2-G5 is essential for gametocyte maturation, and causes the down-regulation of pfap2-g and a set of early gametocyte genes activated by PfAP2-G prior to gametocyte development. Collectively, our findings reveal a regulation cascade of gametocyte production in malaria parasites, and provide a new target for transmission blocking interventions.									9	1	0	0	9	0	10			0305-1048	1362-4962		WOS:000701664900022	34365503	
J	Sun, Jin; Zheng, Weisheng; Liu, Wenqiang; Kou, Xiaochen; Zhao, Yanhong; Liang, Zehang; Wang, Lu; Zhang, Zihao; Xiao, Jing; Gao, Rui; Gao, Shaorong; Jiang, Cizhong				zhao, yan/GWC-9174-2022				Differential Transcriptomes and Methylomes of Trophoblast Stem Cells From Naturally-Fertilized and Somatic Cell Nuclear-Transferred Embryos								FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY				9						664178	10.3389/fcell.2021.664178				APR 1 2021	2021	Trophoblast stem cells (TSCs) are critical to mammalian embryogenesis by providing the cell source of the placenta. TSCs can be derived from trophoblast cells. However, the efficiency of TSC derivation from somatic cell nuclear transfer (NT) blastocysts is low. The regulatory mechanisms underlying transcription dynamics and epigenetic landscape remodeling during TSC derivation remain elusive. Here, we derived TSCs from the blastocysts by natural fertilization (NF), NT, and a histone deacetylase inhibitor Scriptaid-treated NT (SNT). Profiling of the transcriptomes across the stages of TSC derivation revealed that fibroblast growth factor 4 (FGF4) treatment resulted in many differentially expressed genes (DEGs) at outgrowth and initiated transcription program for TSC formation. We identified 75 transcription factors (TFs) that are continuously upregulated during NF TSC derivation, whose transcription profiles can infer the time course of NF not NT TSC derivation. Most DEGs in NT outgrowth are rescued in SNT outgrowth. The correct time course of SNT TSC derivation is inferred accordingly. Moreover, these TFs comprise an interaction network important to TSC stemness. Profiling of DNA methylation dynamics showed an extremely low level before FGF4 treatment and gradual increases afterward. FGF4 treatment results in a distinct DNA methylation remodeling process committed to TSC formation. We further identified 1,293 CpG islands (CGIs) whose DNA methylation difference is more than 0.25 during NF TSC derivation. The majority of these CGIs become highly methylated upon FGF4 treatment and remain in high levels. This may create a barrier for lineage commitment to restrict embryonic development, and ensure TSC formation. There exist hundreds of aberrantly methylated CGIs during NT TSC derivation, most of which are corrected during SNT TSC derivation. More than half of the aberrantly methylated CGIs before NT TSC formation are inherited from the donor genome. In contrast, the aberrantly methylated CGIs upon TSC formation are mainly from the highly methylated CGIs induced by FGF4 treatment. Functional annotation indicates that the aberrantly highly methylated CGIs play a role in repressing placenta development genes, etc., related to post-implantation development and maintaining TSC pluripotency. Collectively, our findings provide novel insights into the transcription dynamics, DNA methylation remodeling, and the role of FGF4 during TSC derivation.									0	0	0	0	0	0	0			2296-634X			WOS:000640343300001	33869230	
J	Nagy, Zsuzsanna; Seneviratne, Janith A.; Kanikevich, Maxwell; Chang, William; Mayoh, Chelsea; Venkat, Pooja; Du, Yanhua; Jiang, Cizhong; Salib, Alice; Koach, Jessica; Carter, Daniel R.; Mittra, Rituparna; Liu, Tao; Parker, Michael W.; Cheung, Belamy B.; Marshall, Glenn M.				Mayoh, Chelsea/AAE-7349-2021; Parker, Michael W/F-9069-2013; Jiang, Cizhong/H-1474-2019	Mayoh, Chelsea/0000-0002-6398-3046; Parker, Michael W/0000-0002-3101-1138; Jiang, Cizhong/0000-0001-5406-2360; Salib, Alice/0000-0003-4605-6432; Carter, Daniel/0000-0002-8464-238X; Seneviratne, Janith Ananda/0000-0003-0413-5829; Venkat, Pooja/0000-0002-9171-7562; Liu, Tao/0000-0001-6244-7316; Cheung, Belamy/0000-0001-8784-860X			An ALYREF-MYCN coactivator complex drives neuroblastoma tumorigenesis through effects on USP3 and MYCN stability								NATURE COMMUNICATIONS				12	1					1881	10.1038/s41467-021-22143-x				MAR 25 2021	2021	To achieve the very high oncoprotein levels required to drive the malignant state cancer cells utilise the ubiquitin proteasome system to upregulate transcription factor levels. Here our analyses identify ALYREF, expressed from the most common genetic copy number variation in neuroblastoma, chromosome 17q21-ter gain as a key regulator of MYCN protein turnover. We show strong co-operativity between ALYREF and MYCN from transgenic models of neuroblastoma in vitro and in vivo. The two proteins form a nuclear coactivator complex which stimulates transcription of the ubiquitin specific peptidase 3, USP3. We show that increased USP3 levels reduce K-48- and K-63-linked ubiquitination of MYCN, thus driving up MYCN protein stability. In the MYCN-ALYREF-USP3 signal, ALYREF is required for MYCN effects on the malignant phenotype and that of USP3 on MYCN stability. This data defines a MYCN oncoprotein dependency state which provides a rationale for future pharmacological studies. Neuroblastoma (NB) is often driven by MYCN amplification. Here, the authors show that the most frequent genetic lesion, gain of 17q21-ter in NB leads to overexpression of ALYREF, which forms a complex with MYCN, regulating MYCN stability via the deubiquitinating enzyme, USP3.									12	0	0	0	7	0	12			2041-1723			WOS:000637990400004	33767157	
J	Lu, Ping; Yang, Guang; Jiang, Lichun; He, Wen; Wu, Wanwan; Qi, Lingbin; Shen, Shijun; Rao, Junhua; Zhang, Peng; Xue, Zhigang; Jiang, Cizhong; Fan, Guoping; Zhu, Xianmin				Zhu, Xianmin/M-6437-2017; Shen, Shijun/GLT-5319-2022	Zhu, Xianmin/0000-0003-1405-9700; Lu, Ping/0000-0002-0127-3911; Shen, Shijun/0000-0002-2641-889X			Characterizing disease progression of nonalcoholic steatohepatitis in Leptin-deficient rats by integrated transcriptome analysis								EXPERIMENTAL BIOLOGY AND MEDICINE				246	6			678	687		10.1177/1535370220976530				MAR 2021	2021	Nonalcoholic steatohepatitis (NASH) is an aggressive liver disease threatening human health, yet no medicine is developed to treat this disease. In this study, we first discovered that Leptin mutant rats (Lep(Delta I14/Delta I14)) exhibit characteristic NASH phenotypes including steatosis, lymphocyte infiltration, and ballooning after postnatal week 16. We then examined NASH progression by performing an integrated analysis of hepatic transcriptome in Leptin-deficient rats from postnatal 4 to 48 weeks. Initially, simple steatosis in Lep(Delta I14/Delta I14) rats were observed with increased expression of the genes encoding for rate-limiting enzymes in lipid metabolism such as acetyl-CoA carboxylase and fatty acid synthase. When NASH phenotypes became well developed at postnatal week 16, we found gene expression changes in insulin resistance, inflammation, reactive oxygen species and endoplasmic reticulum stress. As NASH phenotypes further progressed with age, we observed elevated expression of cytokines and chemokines including C-C motif chemokine ligand 2, tumor necrosis factor alpha, interleukin-6, and interleukin-1 beta together with activation of the c-Jun N-terminal kinase and nuclear factor-kappa B pathways. Histologically, livers in Lep(Delta I14/Delta I14) rats exhibited increased cell infiltration of MPO+ neutrophils, CD8(+) T cells, CD68(+) hepatic macrophages, and CCR2(+) inflammatory monocyte-derived macrophages associated with macrophage polarization from M2 to M1. Subsequent cross-species comparison of transcriptomes in human, rat, and mouse NASH models indicated that Leptin-deficient rats bear more similarities to human NASH patients than previously established mouse NASH models. Taken together, our study suggests that Lep(Delta I14/Delta I14) rats are a valuable pre-clinical rodent model to evaluate NASH drug safety and efficacy.									3	0	0	0	2	0	3			1535-3702	1535-3699		WOS:000628236400005	33302736	
