PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Chen, Wen; Liu, Nana; Shen, Shijun; Zhu, Wei; Qiao, Jing; Chang, Shujuan; Dong, Jianfeng; Bai, Mingliang; Ma, Li; Wang, Shanshan; Jia, Wenwen; Guo, Xudong; Li, Ang; Xi, Jiajie; Jiang, Cizhong; Kang, Jiuhong								Fetal growth restriction impairs hippocampal neurogenesis and cognition via Tet1 in offspring.								Cell reports				37	5			109912	109912		10.1016/j.celrep.2021.109912				2021-Nov-02	2021	Fetal growth restriction (FGR) increases the risk for impaired cognitive function later in life. However, the precise mechanisms remain elusive. Using dexamethasone-induced FGR and protein restriction-influenced FGR mouse models, we observe learning and memory deficits in adult FGR offspring. FGR induces decreased hippocampal neurogenesis from the early post-natal period to adulthood by reducing the proliferation of neural stem cells (NSCs). We further find a persistent decrease of Tet1 expression in hippocampal NSCs of FGR mice. Mechanistically, Tet1 downregulation results in hypermethylation of the Dll3 and Notch1 promoters and inhibition of Notch signaling, leading to reduced NSC proliferation. Overexpression of Tet1 activates Notch signaling, offsets the decline in neurogenesis, and enhances learning and memory abilities in FGR offspring. Our data indicate that a long-term decrease in Tet1/Notch signaling in hippocampal NSCs contributes to impaired neurogenesis following FGR and could serve as potential targets for the intervention of FGR-related cognitive disorders.									0	0	0	0	0	0	0				2211-1247		MEDLINE:34731622	34731622	
J	Ma, Lin; Du, Yanhua; Hui, Yi; Li, Nan; Fan, Beibei; Zhang, Xiaojie; Li, Xiaocui; Hong, Wei; Wu, Zhiping; Zhang, Shuwei; Zhou, Shanshan; Xu, Xiangjie; Zhou, Zhongshu; Jiang, Cizhong; Liu, Ling; Zhang, Xiaoqing				Zhang, Xiaoqing/O-3424-2017	Zhang, Xiaoqing/0000-0002-7405-1893			Developmental programming and lineage branching of early human telencephalon								EMBO JOURNAL				40	21					e107277	10.15252/embj.2020107277		SEP 2021		NOV 2 2021	2021	The dorsal and ventral human telencephalons contain different neuronal subtypes, including glutamatergic, GABAergic, and cholinergic neurons, and how these neurons are generated during early development is not well understood. Using scRNA-seq and stringent validations, we reveal here a developmental roadmap for human telencephalic neurons. Both dorsal and ventral telencephalic radial glial cells (RGs) differentiate into neurons via dividing intermediate progenitor cells (IPCs_div) and early postmitotic neuroblasts (eNBs). The transcription factor ASCL1 plays a key role in promoting fate transition from RGs to IPCs_div in both regions. RGs from the regionalized neuroectoderm show heterogeneity, with restricted glutamatergic, GABAergic, and cholinergic differentiation potencies. During neurogenesis, IPCs_div gradually exit the cell cycle and branch into sister eNBs to generate distinct neuronal subtypes. Our findings highlight a general RGs-IPCs_div-eNBs developmental scheme for human telencephalic progenitors and support that the major neuronal fates of human telencephalon are predetermined during dorsoventral regionalization with neuronal diversity being further shaped during neurogenesis and neural circuit integration.									0	0	0	0	0	0	0			0261-4189	1460-2075		WOS:000698578700001	34558085	
J	Shang, Xiaomin; Shen, Shijun; Tang, Jianxia; He, Xiaoqin; Zhao, Yuemeng; Wang, Changhong; He, Xiaohui; Guo, Gangqiang; Liu, Meng; Wang, Liping; Zhu, Qianshu; Yang, Guang; Jiang, Cizhong; Zhang, Meihua; Yu, Xinyu; Han, Jiping; Culleton, Richard; Jiang, Lubin; Cao, Jun; Gu, Liang; Zhang, Qingfeng				Jiang, Cizhong/H-1474-2019	Jiang, Cizhong/0000-0001-5406-2360; Shen, Shijun/0000-0002-2641-889X			A cascade of transcriptional repression determines sexual commitment and development in Plasmodium falciparum								NUCLEIC ACIDS RESEARCH				49	16			9264	9279		10.1093/nar/gkab683				SEP 20 2021	2021	Gametocytogenesis, the process by which malaria parasites produce sexual forms that can infect mosquitoes, is essential for the transmission of malaria. A transcriptional switch of the pfap2-g gene triggers sexual commitment, but how the complex multi-step process is precisely programed remains largely unknown. Here, by systematic functional screening of a panel of ApiAP2 transcription factors, we identify six new ApiAP2 members associated with gametocytogenesis in Plasmodium falciparum. Among these, PfAP2-G5 (PF3D7_1139300) was found to be indispensable for gametocytogenesis. This factor suppresses the transcriptional activity of the pfap2-g gene via binding to both the upstream region and exonic gene body, the latter is linked to the maintenance of local heterochromatin structure, thereby preventing initiation of sexual commitment. Removal of this repressive effect through pfap2-g5 knockout disrupts the asexual replication cycle and promotes sexual commitment accompanied by upregulation of pfap2-g expression. However, the gametocytes produced fail to mature fully. Further analyses show that PfAP2-G5 is essential for gametocyte maturation, and causes the down-regulation of pfap2-g and a set of early gametocyte genes activated by PfAP2-G prior to gametocyte development. Collectively, our findings reveal a regulation cascade of gametocyte production in malaria parasites, and provide a new target for transmission blocking interventions.									0	0	0	0	0	0	0			0305-1048	1362-4962		WOS:000701664900022	34365503	
J	Liu, Wenju; Shen, Junwei; Li, Yanfei; Wu, Jiawen; Luo, Xiaoli; Yu, Yuanyuan; Zhang, Yuhan; Gu, Liang; Zhang, Xiaobai; Jiang, Cizhong; Li, Jue				Jiang, Cizhong/H-1474-2019	Jiang, Cizhong/0000-0001-5406-2360			Pyroptosis inhibition improves the symptom of acute myocardial infarction								CELL DEATH & DISEASE				12	10					852	10.1038/s41419-021-04143-3				SEP 16 2021	2021	Acute myocardial infarction (AMI), the leading cause of mortality worldwide, is a rapidly developing and irreversible disease. Therefore, proper prompt intervention at the early stage of AMI is crucial for its treatment. However, the molecular features in the early stage have not been clarified. Here, we constructed mouse AMI model and profiled transcriptomes and proteomes at the early stages of AMI progress. Immune system was extensively activated at 6-h AMI. Then, pyroptosis was activated at 24-h AMI. VX-765 treatment, a pyroptosis inhibitor, significantly reduced the infarct size and improved the function of cardiomyocytes. Besides, we identified that WIPI1, specifically expressed in heart, was significantly upregulated at 1 h after AMI. Moreover, WIPI1 expression is significantly higher in the peripheral blood of patients with AMI than healthy control. WIPI1 can serve as a potential early diagnostic biomarker for AMI. It likely decelerates AMI progress by activating autophagy pathways. These findings shed new light on gene expression dynamics in AMI progress, and present a potential early diagnostic marker and a candidate drug for clinical pre-treatment to prolong the optimal cure time.									0	0	0	0	0	0	0			2041-4889			WOS:000696544400003	34531373	
J	Sun, Jin; Zheng, Weisheng; Liu, Wenqiang; Kou, Xiaochen; Zhao, Yanhong; Liang, Zehang; Wang, Lu; Zhang, Zihao; Xiao, Jing; Gao, Rui; Gao, Shaorong; Jiang, Cizhong								Differential Transcriptomes and Methylomes of Trophoblast Stem Cells From Naturally-Fertilized and Somatic Cell Nuclear-Transferred Embryos								FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY				9						664178	10.3389/fcell.2021.664178				APR 1 2021	2021	Trophoblast stem cells (TSCs) are critical to mammalian embryogenesis by providing the cell source of the placenta. TSCs can be derived from trophoblast cells. However, the efficiency of TSC derivation from somatic cell nuclear transfer (NT) blastocysts is low. The regulatory mechanisms underlying transcription dynamics and epigenetic landscape remodeling during TSC derivation remain elusive. Here, we derived TSCs from the blastocysts by natural fertilization (NF), NT, and a histone deacetylase inhibitor Scriptaid-treated NT (SNT). Profiling of the transcriptomes across the stages of TSC derivation revealed that fibroblast growth factor 4 (FGF4) treatment resulted in many differentially expressed genes (DEGs) at outgrowth and initiated transcription program for TSC formation. We identified 75 transcription factors (TFs) that are continuously upregulated during NF TSC derivation, whose transcription profiles can infer the time course of NF not NT TSC derivation. Most DEGs in NT outgrowth are rescued in SNT outgrowth. The correct time course of SNT TSC derivation is inferred accordingly. Moreover, these TFs comprise an interaction network important to TSC stemness. Profiling of DNA methylation dynamics showed an extremely low level before FGF4 treatment and gradual increases afterward. FGF4 treatment results in a distinct DNA methylation remodeling process committed to TSC formation. We further identified 1,293 CpG islands (CGIs) whose DNA methylation difference is more than 0.25 during NF TSC derivation. The majority of these CGIs become highly methylated upon FGF4 treatment and remain in high levels. This may create a barrier for lineage commitment to restrict embryonic development, and ensure TSC formation. There exist hundreds of aberrantly methylated CGIs during NT TSC derivation, most of which are corrected during SNT TSC derivation. More than half of the aberrantly methylated CGIs before NT TSC formation are inherited from the donor genome. In contrast, the aberrantly methylated CGIs upon TSC formation are mainly from the highly methylated CGIs induced by FGF4 treatment. Functional annotation indicates that the aberrantly highly methylated CGIs play a role in repressing placenta development genes, etc., related to post-implantation development and maintaining TSC pluripotency. Collectively, our findings provide novel insights into the transcription dynamics, DNA methylation remodeling, and the role of FGF4 during TSC derivation.									0	0	0	0	0	0	0			2296-634X			WOS:000640343300001	33869230	
J	Nagy, Zsuzsanna; Seneviratne, Janith A.; Kanikevich, Maxwell; Chang, William; Mayoh, Chelsea; Venkat, Pooja; Du, Yanhua; Jiang, Cizhong; Salib, Alice; Koach, Jessica; Carter, Daniel R.; Mittra, Rituparna; Liu, Tao; Parker, Michael W.; Cheung, Belamy B.; Marshall, Glenn M.				Mayoh, Chelsea/AAE-7349-2021; Jiang, Cizhong/H-1474-2019	Mayoh, Chelsea/0000-0002-6398-3046; Seneviratne, Janith/0000-0003-0413-5829; Venkat, Pooja/0000-0002-9171-7562; Liu, Tao/0000-0001-6244-7316; Salib, Alice/0000-0003-4605-6432; Jiang, Cizhong/0000-0001-5406-2360			An ALYREF-MYCN coactivator complex drives neuroblastoma tumorigenesis through effects on USP3 and MYCN stability								NATURE COMMUNICATIONS				12	1					1881	10.1038/s41467-021-22143-x				MAR 25 2021	2021	To achieve the very high oncoprotein levels required to drive the malignant state cancer cells utilise the ubiquitin proteasome system to upregulate transcription factor levels. Here our analyses identify ALYREF, expressed from the most common genetic copy number variation in neuroblastoma, chromosome 17q21-ter gain as a key regulator of MYCN protein turnover. We show strong co-operativity between ALYREF and MYCN from transgenic models of neuroblastoma in vitro and in vivo. The two proteins form a nuclear coactivator complex which stimulates transcription of the ubiquitin specific peptidase 3, USP3. We show that increased USP3 levels reduce K-48- and K-63-linked ubiquitination of MYCN, thus driving up MYCN protein stability. In the MYCN-ALYREF-USP3 signal, ALYREF is required for MYCN effects on the malignant phenotype and that of USP3 on MYCN stability. This data defines a MYCN oncoprotein dependency state which provides a rationale for future pharmacological studies. Neuroblastoma (NB) is often driven by MYCN amplification. Here, the authors show that the most frequent genetic lesion, gain of 17q21-ter in NB leads to overexpression of ALYREF, which forms a complex with MYCN, regulating MYCN stability via the deubiquitinating enzyme, USP3.									1	0	0	0	1	0	1			2041-1723			WOS:000637990400004	33767157	
J	Lu, Ping; Yang, Guang; Jiang, Lichun; He, Wen; Wu, Wanwan; Qi, Lingbin; Shen, Shijun; Rao, Junhua; Zhang, Peng; Xue, Zhigang; Jiang, Cizhong; Fan, Guoping; Zhu, Xianmin				Zhu, Xianmin/M-6437-2017	Zhu, Xianmin/0000-0003-1405-9700; Shen, Shijun/0000-0002-2641-889X			Characterizing disease progression of nonalcoholic steatohepatitis in Leptin-deficient rats by integrated transcriptome analysis								EXPERIMENTAL BIOLOGY AND MEDICINE				246	6			678	687		10.1177/1535370220976530				MAR 2021	2021	Nonalcoholic steatohepatitis (NASH) is an aggressive liver disease threatening human health, yet no medicine is developed to treat this disease. In this study, we first discovered that Leptin mutant rats (Lep(Delta I14/Delta I14)) exhibit characteristic NASH phenotypes including steatosis, lymphocyte infiltration, and ballooning after postnatal week 16. We then examined NASH progression by performing an integrated analysis of hepatic transcriptome in Leptin-deficient rats from postnatal 4 to 48 weeks. Initially, simple steatosis in Lep(Delta I14/Delta I14) rats were observed with increased expression of the genes encoding for rate-limiting enzymes in lipid metabolism such as acetyl-CoA carboxylase and fatty acid synthase. When NASH phenotypes became well developed at postnatal week 16, we found gene expression changes in insulin resistance, inflammation, reactive oxygen species and endoplasmic reticulum stress. As NASH phenotypes further progressed with age, we observed elevated expression of cytokines and chemokines including C-C motif chemokine ligand 2, tumor necrosis factor alpha, interleukin-6, and interleukin-1 beta together with activation of the c-Jun N-terminal kinase and nuclear factor-kappa B pathways. Histologically, livers in Lep(Delta I14/Delta I14) rats exhibited increased cell infiltration of MPO+ neutrophils, CD8(+) T cells, CD68(+) hepatic macrophages, and CCR2(+) inflammatory monocyte-derived macrophages associated with macrophage polarization from M2 to M1. Subsequent cross-species comparison of transcriptomes in human, rat, and mouse NASH models indicated that Leptin-deficient rats bear more similarities to human NASH patients than previously established mouse NASH models. Taken together, our study suggests that Lep(Delta I14/Delta I14) rats are a valuable pre-clinical rodent model to evaluate NASH drug safety and efficacy.									3	0	0	0	2	0	3			1535-3702	1535-3699		WOS:000628236400005	33302736	
J	Xu, Xiangjie; Du, Yanhua; Ma, Lin; Zhang, Shuwei; Shi, Lei; Chen, Zhenyu; Zhou, Zhongshu; Hui, Yi; Liu, Yang; Fang, Yujiang; Fan, Beibei; Liu, Zhongliang; Li, Nan; Zhou, Shanshan; Jiang, Cizhong; Liu, Ling; Zhang, Xiaoqing				Zhang, Xiaoqing/O-3424-2017	Zhang, Xiaoqing/0000-0002-7405-1893			Mapping germ-layer specification preventing genes in hPSCs via genome-scale CRISPR screening								ISCIENCE				24	1					101926	10.1016/j.isci.2020.101926				JAN 22 2021	2021	Understanding the biological processes that determine the entry of three germ layers of human pluripotent stem cells (hPSCs) is a central question in developmental and stem cell biology. Here, we genetically engineered hPSCs with the germ layer reporter and inducible CRISPR/Cas9 knockout system, and a genome-scale screening was performed to define pathways restricting germ layer specification. Genes clustered in the key biological processes, including embryonic development, mRNA processing, metabolism, and epigenetic regulation, were centered in the governance of pluripotency and lineage development. Other than typical pluripotent transcription factors and signaling molecules, loss of function of mesendodermal specifiers resulted in advanced neuroectodermal differentiation, given their inter-germ layer antagonizing effect. Regarding the epigenetic superfamily, microRNAs enriched in hPSCs showed clear germ layer-targeting specificity. The cholesterol synthesis pathway maintained hPSCs via retardation of neuroectoderm specification. Thus, in this study, we identified a full landscape of genetic wiring and biological processes that control hPSC self-renewal and trilineage specification.									0	0	0	0	0	0	0				2589-0042		WOS:000612996900045	33385119	
J	Zhao, Yuemeng; Wang, Fei; Wang, Changhong; Zhang, Xiaobai; Jiang, Cizhong; Ding, Feng; Shen, Li; Zhang, Qingfeng				Ding, Feng/O-6500-2017	Ding, Feng/0000-0001-8739-4337			Optimization of CRISPR/Cas System for Improving Genome Editing Efficiency in Plasmodium falciparum								FRONTIERS IN MICROBIOLOGY				11						625862	10.3389/fmicb.2020.625862				JAN 8 2021	2021	Studies of molecular mechanisms and related gene functions have long been restricted by limited genome editing technologies in malaria parasites. Recently, a simple and effective genome editing technology, the CRISPR/Cas (clustered regularly interspaced short palindromic repeats/CRISPR-associated) system, has greatly facilitated these studies in many organisms, including malaria parasites. However, due to the special genome feature of malaria parasites, the manipulation and gene editing efficacy of the CRISPR/Cas system in this pathogen need to be improved, particularly in the human malaria parasite, Plasmodium falciparum. Herein, based on the CRISPR/Cas9 system, we developed an integrating strategy to generate a Cas9i system, which significantly shortened the time for generation of transgenic strains in P. falciparum. Moreover, with this Cas9i system, we have successfully achieved multiplexed genome editing (mutating or tagging) by a single-round transfection in P. falciparum. In addition, we for the first time adapted AsCpf1 (Acidaminococcus sp. Cpf1), an alternative to Cas9, into P. falciparum parasites and examined it for gene editing. These optimizations of the CRISPR/Cas system will further facilitate the mechanistic research of malaria parasites and contribute to eliminating malaria in the future.									2	0	0	0	2	0	2			1664-302X			WOS:000609257600001	33488567	
J	Yang, Guang; Zhang, Linfeng; Liu, Wenqiang; Qiao, Zhibin; Shen, Shijun; Zhu, Qianshu; Gao, Rui; Wang, Mengting; Wang, Mingzhu; Li, Chong; Liu, Meng; Sun, Jin; Wang, Liping; Liu, Wenju; Cui, Xinyu; Zhao, Kun; Zang, Ruge; Chen, Mo; Liang, Zehang; Wang, Lu; Kou, Xiaochen; Zhao, Yanhong; Wang, Hong; Wang, Yixuan; Gao, Shaorong; Chen, Jiayu; Jiang, Cizhong					Yao, Weixin/0000-0001-5925-5081; Shen, Shijun/0000-0002-2641-889X; Young, Gran/0000-0002-1910-9271			Dux-Mediated Corrections of Aberrant H3K9ac during 2-Cell Genome Activation Optimize Efficiency of Somatic Cell Nuclear Transfer								CELL STEM CELL				28	1			150	+		10.1016/j.stem.2020.09.006				JAN 7 2021	2021	Differentiated somatic cells can be reprogrammed to totipotent embryos through somatic cell nuclear transfer (SCNT) with low efficiency. The histone deacetylase inhibitor trichostatin A (TSA) has been found to improve SCNT efficiency, but the underlying mechanism remains undetermined. Here, we examined genome-wide H3K9ac during SCNT embryo development and found that aberrant H3K9ac regions resulted in reduced 2-cell genome activation. TSA treatment largely corrects aberrant acetylation in SCNT embryos with an efficiency that is dictated by the native epigenetic environment. We further identified that the overexpression of Dux greatly improves SCNT efficiency by correcting the aberrant H3K9ac signal at its target sites, ensuring appropriate 2-cell genome activation. Intriguingly, the improvement in development mediated by TSA and Kdm4b is impeded by Dux knockout in SCNT embryos. Together, our study reveals that reprogramming of H3K9ac is important for optimal SCNT efficiency and identifies Dux as a crucial transcription factor in this process.									16	1	0	0	9	0	17			1934-5909	1875-9777		WOS:000606536600017	33049217	
