PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Guo, Gangqiang; Chen, Aqiong; Ye, Lele; Wang, Huijing; Chen, Zhiyuan; Yan, Kejing; Shi, Xinyu; Li, Baoqing; Lin, Qiaoai; You, Xiaohan; Jiang, Cizhong; Zhang, Qingfeng; Ding, Xiaokai; Xue, Xiangyang; Zhang, Huidi								TCONS_00483150 as a novel diagnostic biomarker of systemic lupus erythematosus.								Epigenomics											10.2217/epi-2019-0265				2020-Jul-17	2020	Aim: We aimed to identify differentially expressed Long noncoding RNAs (lncRNAs) and explore their functional roles in systemic lupus erythematosus (SLE). Materials & methods: We identified dysregulated lncRNAs and investigated their prognostic values and potential functions using MiRTarget2, catRAPID omics and Bedtools/blast/Pearson analyses. Results: Among the 143 differentially expressed lncRNAs, TCONS_00483150 could be used to distinguish patients with SLE from healthy controls and those with rheumatoid arthritis and patients with active/stable SLE from healthy controls. TCONS_00483150 was significantly correlated with anti-Rib-P antibody positivity and low C3levels; TCONS_00483150 dysregulation might contribute to the metabolism of RNA and proteins in SLE patients. Conclusion: Overall, our findings offer a transcriptome-wide overview of aberrantly expressed lncRNAs in patients with SLE and highlight TCONS_00483150 as a potential novel diagnostic biomarker.									0	0	0	0	0	0	0	0	0		1750-192X		MEDLINE:32677847	32677847	
J	Fan, Yanting; Shen, Shijun; Wei, Guiying; Tang, Jianxia; Zhao, Yuemeng; Wang, Fei; He, Xiaohui; Guo, Gangqiang; Shang, Xiaomin; Yu, Xinyu; Ma, Zhenlin; He, Xiaoqin; Liu, Meng; Zhu, Qianshu; Le, Zhen; Wei, Gang; Cao, Jun; Jiang, Cizhong; Zhang, Qingfeng								Rrp6 Regulates Heterochromatic Gene Silencing via ncRNA RUF6 Decay in Malaria Parasites.								mBio				11	3						10.1128/mBio.01110-20				2020 Jun 02	2020	The heterochromatin environment plays a central role in silencing genes associated with the malaria parasite's development, survival in the host, and transmission to the mosquito vector. However, the underlying mechanism regulating the dynamic chromatin structure is not understood yet. Here, we have uncovered that Plasmodium falciparum Rrp6, an orthologue of eukaryotic RNA exosome-associated RNase, controls the silencing of heterochromatic genes. PfRrp6 knockdown disrupted the singular expression of the GC-rich ncRNA RUF6 family, a known critical regulator of virulence gene expression, through the stabilization of the nascent transcripts. Mechanistic investigation showed that the accumulation of the multiple RUF6 ncRNAs triggered local chromatin remodeling in situ, which activated their adjacent var genes. Strikingly, chromatin isolation by RNA purification analysis (ChIRP-seq) revealed that a remarkable RUF6 ncRNA had interacted with distal heterochromatin regions directly and stimulated a global derepression effect on heterochromatic genes, including all variant gene families and the sexual commitment-associated regulator ap2-g gene. Collectively, Rrp6 appears to conduct the epigenetic surveillance of heterochromatic gene expression through controlling RUF6 levels, thereby securing antigenic variation and sexual commitment of malaria parasites during the infection of the host.IMPORTANCE Malaria remains a major public health and economic burden. The heterochromatin environment controls the silencing of genes associated with the fate of malaria parasites. Previous studies have demonstrated that a group of GC-rich ncRNAs (RUF6) is associated with the mutually exclusive expression of var genes, but the underlying mechanisms remain elusive. Here, through a series of genetic manipulation and genome-wide multiomics analysis, we have identified the plasmodial orthologue of RNA exosome-associated Rrp6 as an upstream regulator of RUF6 expression and revealed that the dysregulation of RUF6 upon Rrp6 knockdown triggered local chromatin alteration, thereby activating most heterochromatic genes via direct interaction of RUF6 and distal gene loci. This finding not only uncovered the in-depth mechanism of RUF6-mediated regulation of heterochromatic genes but also identified Rrp6 as a novel regulator of gene expression in human malaria parasites, which provides a new target for developing intervention strategies against malaria.									0	0	0	0	0	0	0	1	1		2150-7511		MEDLINE:32487761	32487761	
J	Chen, Mo; Zhu, Qianshu; Li, Chong; Kou, Xiaochen; Zhao, Yanhong; Li, Yanhe; Xu, Ruimin; Yang, Lei; Yang, Lingyue; Gu, Liang; Wang, Hong; Liu, Xiaoyu; Jiang, Cizhong; Cd, Shaorong Gao					Zhu, Qianshu/0000-0001-9194-9550			Chromatin architecture reorganization in murine somatic cell nuclear transfer embryos								NATURE COMMUNICATIONS				11	1					1813	10.1038/s41467-020-15607-z				APR 14 2020	2020	The oocyte cytoplasm can reprogram the somatic cell nucleus into a totipotent state, but with low efficiency. The spatiotemporal chromatin organization of somatic cell nuclear transfer (SCNT) embryos remains elusive. Here, we examine higher order chromatin structures of mouse SCNT embryos using a low-input Hi-C method. We find that donor cell chromatin transforms to the metaphase state rapidly after SCNT along with the dissolution of typical 3D chromatin structure. Intriguingly, the genome undergoes a mitotic metaphase-like to meiosis metaphase II-like transition following activation. Subsequently, weak chromatin compartments and topologically associating domains (TADs) emerge following metaphase exit. TADs are further removed until the 2-cell stage before being progressively reestablished. Obvious defects including stronger TAD boundaries, aberrant super-enhancer and promoter interactions are found in SCNT embryos. These defects are partially caused by inherited H3K9me3, and can be rescued by Kdm4d overexpression. These observations provide insight into chromatin architecture reorganization during SCNT embryo development. The organisation of chromatin in somatic cell nuclear transfer (SCNT) embryos remains poorly understood. Here, the authors examine higher order chromatin structures of mouse SCNT embryos and provide insights into chromatin architecture reorganisation during SCNT embryo development.									0	0	0	0	0	0	0	2	2	2041-1723			WOS:000528789000003	32286279	
J	Liu, Meng; Lu, Binbin; Fan, Yanting; He, Xiaohui; Shen, Shijun; Jiang, Cizhong; Zhang, Qingfeng								TRIBE Uncovers the Role of Dis3 in Shaping the Dynamic Transcriptome in Malaria Parasites								FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY				7						264	10.3389/fcell.2019.00264				NOV 1 2019	2019	Identification of RNA targets of RNA-binding proteins (RBPs) is essential for complete understanding of their biological functions. However, it is still a challenge to identify the biologically relevant targets of RBPs through in vitro strategies of RIP-seq, HITS-CLIP, or GoldCLIP due to the potentially high background and complicated manipulation. In malaria parasites, RIP-seq and gene disruption are the few tools available currently for identification of RBP targets. Here, we have adopted the TRIBE (Targets of RNA binding proteins identified by editing) system to in vivo identify the RNA targets of PfDis3, a key exoribonuclease subunit of RNA exosome in Plasmodium falciparum. We generated a transgenic parasite line of PfDis3-ADARcd, which catalyzes an adenosine (A)-to-inosine (I) conversion at the potential interacting sites of PfDis3-targeting RNAs. Most of PfDis3 target genes contain one edit site. The majority of the edit sites detected by PfDis3-TRIBE locate in exons and spread across the entire coding regions. The nucleotides adjacent to the edit sites contain similar to 75% of A C T. PfDis3-TRIBE target genes are biases toward higher RIP enrichment, suggesting that PfDis3-TRIBE preferentially detects stronger PfDis3 RIP targets. Collectively, PfDis3-TRIBE is a favorable tool to identify in vivo target genes of RBP with high efficiency and reproducibility. Additionally, the PfDis3-targeting genes are involved in stage-related biological processes during the blood-stage development. Thus PfDis3 appears to shape the dynamic transcriptional transcriptome of malaria parasites through post-transcriptional degradation of a variety of unwanted transcripts from both strands in the asexual blood stage.									0	0	0	0	0	0	0	3	3	2296-634X			WOS:000513934100002	31737630	
J	Chen, Yu; Zhang, Haiping; Xu, Zhu; Tang, Huanyin; Geng, Anke; Cai, Bailian; Su, Tao; Shi, Jiejun; Jiang, Cizhong; Tian, Xiao; Seluanov, Andrei; Huang, Jun; Wan, Xiaoping; Jiang, Ying; Gorbunova, Vera; Mao, Zhiyong					Shi, Jiejun/0000-0001-9777-1183; Chen, Yu/0000-0002-9661-3914			A PARP1-BRG1-SIRT1 axis promotes HR repair by reducing nucleosome density at DNA damage sites								NUCLEIC ACIDS RESEARCH				47	16			8563	8580		10.1093/nar/gkz592				SEP 19 2019	2019	Creating access to DNA double-strand break (DSB) sites in the chromatin context is an essential step during the repair process, but much remains to be determined about its regulatory mechanisms. Here, using a novel reporter cassette for simultaneous detection of homologous recombination (HR) and non-homologous end joining (NHEJ) at the same chromosomal site, we report that the efficiency of HR but not NHEJ negatively correlates with nucleosome density. We demonstrate that PARP1 is required for HR by modulating nucleosome density at damage sites. Mechanistic studies indicate that the ATPase domain of BRG1 and the ZnF domain of SIRT1 interact with poly-ADP ribose (PAR) in response to DNA damage, and are responsible for bringing the two factors to broken DNA ends. At DNA damage sites, BRG1 and SIRT1 physically interact, whereupon SIRT1 deacety-lates BRG1 at lysine residues 1029 and 1033, stimulating its ATPase activity to remodel chromatin and promote HR.									4	0	0	0	1	0	4	4	7	0305-1048	1362-4962		WOS:000490576900023	31291457	
J	Hu, Xinjie; Zheng, Weisheng; Zhu, Qianshu; Gu, Liang; Du, Yanhua; Han, Zhe; Zhang, Xiaobai; Carter, Daniel R.; Cheung, Belamy B.; Qiu, Andong; Jiang, Cizhong								Increase in DNA Damage by MYCN Knockdown Through Regulating Nucleosome Organization and Chromatin State in Neuroblastoma								FRONTIERS IN GENETICS				10						684	10.3389/fgene.2019.00684				JUL 24 2019	2019	As a transcription factor, MYCN regulates myriad target genes including the histone chaperone FACT. Moreover, FACT and MYCN expression form a forward feedback loop in neuroblastoma. It is unclear whether MYCN is involved in chromatin remodeling in neuroblastoma through regulation of its target genes. We showed here that MYCN knockdown resulted in loss of the nucleosome-free regions through nucleosome assembly in the promoters of genes functionally enriched for DNA repair. The active mark H3K9ac was removed or replaced by the repressive mark H3K27me3 in the promoters of double-strand break repair-related genes upon MYCN knockdown. Such chromatin state alterations occurred only in MYCN-bound promoters. Consistently, MYCN knockdown resulted in a marked increase in DNA damage in the treatment with hydroxyurea. In contrast, nucleosome reorganization and histone modification changes in the enhancers largely included target genes with tumorigenesis-related functions such as cell proliferation, cell migration, and cell-cell adhesion. The chromatin state significantly changed in both MYCN-bound and MYCN-unbound enhancers upon MYCN knockdown. Furthermore, MYCN knockdown independently regulated chromatin remodeling in the promoters and the enhancers. These findings reveal the novel epigenetic regulatory role of MYCN in chromatin remodeling and provide an alternative potential epigenetic strategy for MYCN-driven neuroblastoma treatment.									1	0	0	0	0	0	1	1	1		1664-8021		WOS:000477011200001	31396265	
J	Nagy, Zsuzsanna; Kanikevichi, Maxwell; Koachi, Jessica; Mayoh, Chelsea; Carter, Daniel; Liu, Tao; Du, Yanhua; Jiang, Cizhong; Haber, Michelle; Norris, Murray; Cheung, Belamy; Marshall, Glenn								Alyref is a novel binding partner and co-factor for MYCN-driven oncogenesis in neuroblastoma								CANCER RESEARCH				79	13		3659				10.1158/1538-7445.AM2019-3659			S	JUL 2019	2019						Annual Meeting of the American-Association-for-Cancer-Research (AACR)Annual Meeting of the American-Association-for-Cancer-Research (AACR)	MAR 29-APR 03, 2019MAR 29-APR 03, 2019	Amer Assoc Canc ResAmer Assoc Canc Res	Atlanta, GAAtlanta, GA	0	0	0	0	0	0	0	0	0	0008-5472	1538-7445		WOS:000488279403064		
J	Chen, Kaiming; Li, Dong; Li, Hongwen; Li, Bing; Wang, Ruiqin; Jiang, Lingxiao; Huang, Lei; Xu, Xiaoqing; Li, Jie; Teng, Fei; Jiang, Cizhong; Gu, Hua; Fang, Jianmin								Improved recombinant protein production by regulation of transcription and protein transport in Chinese hamster ovary cells								BIOTECHNOLOGY LETTERS				41	6-7			719	732		10.1007/s10529-019-02681-7				JUL 2019	2019	ObjectivesTo identify genes that affected protein expression in Chinese hamster ovary (CHO) cells was significant, and we identified the changes in the transcriptome and the functional gene sets that would contribute to increase expression of recombinant protein.ResultsHere two sub-clones from a methotrexate-treated parental recombinant CHO cell line were selected. The two sub-clones, with different expression levels (qp were 42.8pg/cell/day and 14.0pg/cell/day), were analyzed through RNA-seq. More than 600 genes were identified as differently expressed, and we found that the differentially expressed genes were involved in processes such as RNA processing, transcription, protein catabolism, and protein transport. Among these, we cloned genes encoding proteins that were involved in transcription and protein transport to investigate their effect on protein production.ConclusionsWe found that some genes involved in transcription and protein transport would improve recombinant protein production in CHO cells.									0	0	0	0	0	0	0	0	6	0141-5492	1573-6776		WOS:000470279400008	31114947	
J	Chen, Xiaolong; Ye, Youqiong; Gu, Liang; Sun, Jin; Du, Yanhua; Liu, Wen-Ju; Li, Wei; Zhang, Xiaobai; Jiang, Cizhong				Jiang, Cizhong/H-1474-2019	Jiang, Cizhong/0000-0001-5406-2360			H3K27me3 Signal in the Cis Regulatory Elements Reveals the Differentiation Potential of Progenitors During Drosophila Neuroglial Development								GENOMICS PROTEOMICS & BIOINFORMATICS				17	3			297	304		10.1016/j.gpb.2018.12.009				JUN 2019	2019	Drosophila neural development undergoes extensive chromatin remodeling and precise epigenetic regulation. However, the roles of chromatin remodeling in establishment and maintenance of cell identity during cell fate transition remain enigmatic. Here, we compared the changes in gene expression, as well as the dynamics of nucleosome positioning and key histone modifications between the four major neural cell types during Drosophila neural development. We find that the neural progenitors can be separated from the terminally differentiated cells based on their gene expression profiles, whereas nucleosome distribution in the flanking regions of transcription start sites fails to identify the relationships between the progenitors and the differentiated cells. H3K27me3 signal in promoters and enhancers can not only distinguish the progenitors from the differentiated cells but also identify the differentiation path of the neural stem cells (NSCs) to the intermediate progenitor cells to the glial cells. In contrast, H3K9ac signal fails to identify the differentiation path, although it activates distinct sets of genes with neuron-specific and glia-related functions during the differentiation of the NSCs into neurons and glia, respectively. Together, our study provides novel insights into the crucial roles of chromatin remodeling in determining cell type during Drosophila neural development.									0	0	0	0	0	0	0	0	3	1672-0229	2210-3244		WOS:000490550300008	31195140	
J	Zhang, Shiping; Guo, Xiaowei; Wu, Honggui; Sun, Ying; Ma, Xianjue; Li, Jikai; Xu, Qian; Wu, Chenxi; Li, Qiwen; Jiang, Cizhong; Li, Wenzhe; Ho, Margaret S.; Lv, Zhongwei; Xue, Lei					Ma, Xianjue/0000-0003-4360-3947			Wingless modulates activator protein-1-mediated tumor invasion								ONCOGENE				38	20			3871	3885		10.1038/s41388-018-0629-x				MAY 16 2019	2019	Metastasis begins with a subset of local tumor cells acquiring the potential to invade into surrounding tissues, and remains to be a major obstacle for cancer treatments. More than 90% of cancer patients died from tumor metastasis, instead of primary tumor growth. The canonical Wnt/beta-catenin pathway plays essential roles in promoting tumor formation, yet its function in regulating tumor metastasis and the underlying mechanisms remain controversial. Here we employed well-established Drosophila tumor models to investigate the regulating mechanism of Wingless (Wg) pathway in tumor invasion. Our results showed that Wg signaling is necessary and sufficient for cell polarity disruption-induced cell migration and molecular changes reminiscent of epithelial-mesenchymal transition (EMT). Moreover, reducing Wg signaling suppressed lgl(-/-)/Ras(V12)-induced tumor invasion, and cooperation between Arm and Ras(V12) is sufficient to induce tumor invasion. Mechanistically, we found that cell polarity disruption activates JNK signaling, which in turn upregulate wg expression through transcription factor activator protein-1 (AP-1). We identified a consensus AP-1 binding site located in the 2nd intron of wg, and confirmed that it is essential for AP-1 induced wg transcription both in vitro and in vivo. Lastly, we confirmed that the transcriptional activation of WNT by AP-1 is conserved in human cancer cells. These evidences reveal a positive role of Wnt/beta-catenin pathway in tumor invasion, and provide a conserved mechanism that connects JNK and Wnt signaling in regulating tumor progression.									6	0	0	0	5	0	6	5	15	0950-9232	1476-5594		WOS:000468035600008	30683884	
